Alpha, V, dE, Xu, Xw, Zu, Zw, Zq, Mu, Mw, Mq, Yv, Yp, Yr, Lv, Lp, Lr, Nv, Np, Nr, Xde, Yde, Zde, Lde, Mde, Nde, CXu, CXa, CZu, CLa, CLq, Cmu, Cma, Cmq, CYb, CYp, CYr, Clb, Clp, Clr, Cnb, Cnp, Cnr, CXde, CYde, CZde, Clde, Cmde, Cnde, 
19.5793, 12.14384, -17.00, -1.6788, 10.998, -25.707, -40.876, -23.883, 0.020713, -10.437, -15.19, -6.3719, 1.3666, 7.5067, 0.84178, -16.125, 13.553, 7.3736, -9.8213, -8.7111, 19.554, -5.6693e-10, -161.12, 9.2471e-10, -149.41, -1.2081e-09, -0.22571, 1.4786, 0.019207, 5.4955, 18.374, 0.0079678, -4.0147, -33.437, -0.85666, 0.12249, 0.67281, 0.037724, -0.48175, 0.40491, 0.33044, -0.29342, -0.26026, 0.21648, -6.2764e-12, -1.7838, 3.4124e-12, -4.7327, -4.4582e-12, 
18.6021, 12.36611, -16.50, -31.543, -73.617, -22.569, -11.121, 28.628, -7.1744, -8.0497, -14.993, -5.9818, 1.7409, 8.3495, 0.30125, -16.387, 14.357, 5.9785, -10.39, -8.565, -95016, 3.8587e-09, -14511, -1.4453e-10, -44578, 6.2979e-06, -4.1644, -9.7194, 0.37188, 1.4682, -21.629, -2.7102, -3.0408, -32.411, -0.78976, 0.15323, 0.73491, 0.013258, -0.48077, 0.42122, 0.2631, -0.30483, -0.25129, -1014.4, 4.1197e-11, -154.93, -5.1437e-13, -1361.8, 2.2413e-08, 
18.7275, 12.32873, -16.00, -0.81179, 4.1945, -25.525, -40.136, -21.398, 0.019613, -11.406, -16.968, -4.8021, 1.8398, 5.8524, 0.04689, -16.553, 14.253, 5.3261, -10.176, -6.479, -95.971, -8.6779e-10, -136.58, 2.1204e-09, -167.61, 3.1078e-08, -0.1075, 0.55547, -0.0082485, 5.3151, 16.216, 0.0074315, -4.3218, -36.792, -0.63593, 0.16242, 0.51668, 0.0020698, -0.48712, 0.41944, 0.23511, -0.29946, -0.19066, -1.0309, -9.3212e-12, -1.467, 7.5921e-12, -5.1511, 1.1127e-10, 
16.8713, 12.79744, -15.00, -6.6946, 55.275, -22.59, -56.921, -47.375, 0.017399, -10.597, -15.599, -5.3943, 0.87183, 6.1987, 0.089784, -16.935, 13.744, 6.2951, -8.7218, -7.1729, 841.48, 2.9976e-09, -415.39, -2.4541e-09, -158.68, 9.1707e-08, -0.85407, 7.0518, 0.24754, 7.2618, 34.586, 0.0063509, -3.8682, -32.584, -0.68818, 0.07415, 0.52721, 0.0038181, -0.48013, 0.38965, 0.2677, -0.24726, -0.20335, 8.3887, 2.9883e-11, -4.141, -8.155e-12, -4.5259, 3.0474e-10, 
17.0934, 12.72825, -14.50, -2.8924, 23.183, -23.893, -48.504, -33.441, 0.017586, -12.278, -18.456, -3.7915, 1.661, 4.833, -0.64266, -17.117, 14.488, 4.0399, -9.7967, -5.166, 255.67, 8.0231e-11, -264.3, 1.5443e-09, -187.68, 1.1504e-07, -0.37101, 2.9737, 0.098802, 6.2216, 24.546, 0.0064542, -4.5061, -38.762, -0.48634, 0.14204, 0.41328, -0.027478, -0.4879, 0.41298, 0.17273, -0.27925, -0.14725, 2.5766, 8.0853e-13, -2.6635, 5.1875e-12, -5.4115, 3.8645e-10, 
16.5369, 12.88406, -14.00, -1.6083, 9.5732, -23.952, -45.087, -26.808, 0.018261, -12.419, -18.74, -4.7546, 1.6116, 5.8914, -0.42083, -17.39, 14.053, 5.2203, -9.6038, -6.4671, 22.633, 1.203e-10, -198.03, 2.37e-09, -192.73, 1.0886e-07, -0.20381, 1.2131, 0.052362, 5.7133, 19.44, 0.006621, -4.5029, -38.882, -0.6025, 0.13615, 0.4977, -0.017776, -0.4897, 0.39572, 0.2205, -0.27044, -0.18211, 0.2226, 1.1832e-12, -1.9477, 7.7699e-12, -5.4238, 3.569e-10, 
16.1233, 12.99989, -13.50, -2.0442, 11.62, -23.583, -46.703, -29.145, 0.017714, -13.029, -19.803, -4.2443, 1.8387, 5.4661, -0.69796, -17.656, 14.188, 4.5069, -10.002, -5.8459, 78.169, -2.0456e-11, -224.91, -1.138e-09, -205.48, 7.4539e-08, -0.25673, 1.4594, 0.070901, 5.8654, 20.946, 0.0063652, -4.6818, -40.722, -0.53304, 0.15395, 0.45765, -0.029219, -0.49275, 0.39598, 0.18868, -0.27915, -0.16315, 0.75518, -1.9762e-13, -2.1728, -3.6646e-12, -5.6797, 2.4004e-10, 
15.5675, 13.16495, -13.00, -2.1737, 12.37, -23.211, -47.793, -30.169, 0.016941, -13.324, -20.334, -4.3094, 1.8266, 5.5698, -0.78301, -17.925, 14.097, 4.5781, -9.9742, -5.961, 104.93, -3.1194e-10, -238.56, 2.5133e-09, -213.42, 1.2225e-08, -0.26958, 1.5341, 0.078634, 5.9271, 21.41, 0.0060114, -4.7279, -41.288, -0.53443, 0.15102, 0.46049, -0.032369, -0.494, 0.38851, 0.18925, -0.27488, -0.16428, 0.98844, -2.9385e-12, -2.2473, 7.8919e-12, -5.7523, 3.8388e-11, 
14.4142, 13.54499, -12.50, -0.86942, 3.7441, -22.826, -45.832, -24.25, 0.015378, -12.111, -18.313, -5.0981, 1.525, 6.3976, -0.48128, -18.394, 13.424, 5.6728, -9.4043, -7.1, -75.541, 1.0445e-09, -175.1, -1.5204e-09, -196.25, -1.9558e-08, -0.1048, 0.4513, 0.042149, 5.5243, 16.727, 0.0053037, -4.1769, -36.143, -0.6145, 0.12255, 0.5141, -0.019337, -0.49269, 0.35958, 0.22793, -0.2519, -0.19018, -0.67224, 9.2948e-12, -1.5582, -4.5101e-12, -4.9969, -5.8016e-11, 
14.3792, 13.54836, -12.00, -2.7292, 15.291, -22.344, -50.172, -32.542, 0.015422, -13.745, -21.123, -4.5304, 1.7703, 5.8696, -0.88707, -18.532, 13.82, 4.8635, -9.5772, -6.3123, 186.36, -1.0492e-10, -268.9, 8.2492e-10, -227.26, -2.0545e-08, -0.32888, 1.8427, 0.099534, 6.046, 22.44, 0.0053173, -4.7391, -41.678, -0.54594, 0.14222, 0.47155, -0.035632, -0.49627, 0.3701, 0.19536, -0.25647, -0.16904, 1.6576, -9.3321e-13, -2.3917, 2.4457e-12, -5.7835, -6.0912e-11, 
