xflr5 v6.38

Plane name :        Decode1_Wing_modif
Polar name :        T1-30.0 m/s-VLM2-15.0kg-x39.1mm
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   10.800     0.000   1.027060   0.037774   0.013691   0.051466   0.002417  -0.000037  -0.248669  -0.000731  -0.000730   30.0000     0.1212
   11.000     0.000   1.044701   0.039103   0.013848   0.052951   0.002417  -0.000041  -0.254470  -0.000728  -0.000728   30.0000     0.1218
   11.200     0.000   1.062316   0.040452   0.013998   0.054450   0.002417  -0.000045  -0.260257  -0.000726  -0.000726   30.0000     0.1223
   11.400     0.000   1.079904   0.041822   0.014162   0.055984   0.002417  -0.000049  -0.266031  -0.000724  -0.000723   30.0000     0.1228
   11.600     0.000   1.097465   0.043213   0.014326   0.057539   0.002417  -0.000053  -0.271793  -0.000721  -0.000721   30.0000     0.1233
   11.800     0.000   1.114998   0.044624   0.014487   0.059112   0.002417  -0.000057  -0.277541  -0.000719  -0.000719   30.0000     0.1238
   12.000     0.000   1.132503   0.046056   0.014665   0.060721   0.002418  -0.000061  -0.283275  -0.000717  -0.000716   30.0000     0.1243
   12.200     0.000   1.149980   0.047508   0.014828   0.062336   0.002418  -0.000065  -0.288996  -0.000714  -0.000714   30.0000     0.1248
   12.400     0.000   1.167428   0.048980   0.015003   0.063982   0.002418  -0.000069  -0.294703  -0.000712  -0.000712   30.0000     0.1252
   12.600     0.000   1.184847   0.050471   0.015192   0.065663   0.002419  -0.000073  -0.300395  -0.000710  -0.000709   30.0000     0.1257
   12.800     0.000   1.202236   0.051983   0.015382   0.067364   0.002419  -0.000076  -0.306073  -0.000707  -0.000707   30.0000     0.1261
   13.000     0.000   1.219594   0.053514   0.015585   0.069098   0.002420  -0.000080  -0.311737  -0.000705  -0.000704   30.0000     0.1265
   13.200     0.000   1.236922   0.055064   0.015798   0.070862   0.002421  -0.000084  -0.317385  -0.000702  -0.000702   30.0000     0.1269
   13.400     0.000   1.254220   0.056633   0.016009   0.072642   0.002421  -0.000088  -0.323018  -0.000700  -0.000699   30.0000     0.1273
   13.600     0.000   1.271485   0.058221   0.016245   0.074466   0.002422  -0.000092  -0.328636  -0.000697  -0.000697   30.0000     0.1277
   13.800     0.000   1.288719   0.059828   0.016477   0.076305   0.002423  -0.000095  -0.334238  -0.000695  -0.000694   30.0000     0.1281
   14.000     0.000   1.305921   0.061454   0.016739   0.078193   0.002424  -0.000099  -0.339825  -0.000692  -0.000692   30.0000     0.1284
   14.200     0.000   1.323090   0.063097   0.017011   0.080108   0.002425  -0.000103  -0.345396  -0.000690  -0.000689   30.0000     0.1288
   14.400     0.000   1.340226   0.064759   0.017312   0.082072   0.002426  -0.000107  -0.350951  -0.000687  -0.000687   30.0000     0.1292
   14.600     0.000   1.357328   0.066439   0.017656   0.084095   0.002427  -0.000110  -0.356490  -0.000685  -0.000684   30.0000     0.1295
   14.800     0.000   1.374397   0.068137   0.018024   0.086161   0.002428  -0.000114  -0.362012  -0.000682  -0.000681   30.0000     0.1298
   15.000     0.000   1.391431   0.069852   0.018440   0.088292   0.002429  -0.000117  -0.367520  -0.000680  -0.000679   30.0000     0.1302
   15.200     0.000   1.408431   0.071585   0.018917   0.090502   0.002431  -0.000121  -0.373011  -0.000677  -0.000676   30.0000     0.1305
   15.400     0.000   1.425395   0.073334   0.019502   0.092836   0.002432  -0.000125  -0.378489  -0.000674  -0.000673   30.0000     0.1308
   15.600     0.000   1.442325   0.075101   0.020267   0.095368   0.002434  -0.000128  -0.383957  -0.000672  -0.000671   30.0000     0.1311


